#!,Workbook:,Custom,Custom
#!,Para reproducir estos datos: abra el archivo original de Excel, haga clic en el botón *Importar archivo de datos* de la pestaña *Secuencia de datos* de la cinta de opciones y desplácese hasta este archivo.
#!,Para obtener más información, visite http://aka.ms/hackingstem/
1.03,5,-4.5703125000
1.03,5,-4.5703125000
1.03,5,-4.5703125000
1.04,5,-4.5703125000
1.04,5,-4.5703125000
1.04,5,-4.5703125000
1.04,5,-4.5703125000
1.04,5,-4.5703125000
1.04,5,-4.5703125000
1.05,5,-4.5703125000
1.05,5,-4.5703125000
1.05,5,-4.5703125000
1.05,5,-4.5703125000
1.05,5,-4.5703125000
1.06,5,-4.5703125000
1.06,5,-4.5703125000
1.06,5,-4.5703125000
1.06,5,-4.5703125000
1.06,5,-4.5703125000
1.07,5,-4.5703125000
1.07,5,-4.5703125000
1.07,5,-4.5703125000
1.07,5,-4.5703125000
1.07,5,-4.5703125000
1.08,5,-4.5703125000
1.08,5,-4.5703125000
1.08,5,-4.5703125000
1.08,5,-4.5703125000
1.08,5,-4.5703125000
1.08,5,-4.5703125000
1.09,5,-4.5703125000
1.09,5,-4.5703125000
1.09,5,-4.5703125000
1.09,5,-4.5703125000
1.09,5,-4.5703125000
1.10,5,-4.5703125000
1.10,5,-4.5703125000
1.10,5,-4.5703125000
1.10,5,-4.5703125000
1.10,5,-4.5703125000
1.10,5,-4.5703125000
1.11,5,-4.5703125000
1.11,5,-4.5703125000
1.11,5,-4.5703125000
1.11,5,-4.5703125000
1.12,5,-4.5703125000
1.12,5,-4.5703125000
1.12,5,-4.5703125000
1.12,5,-4.5703125000
1.12,5,-4.5703125000
1.12,5,-4.5703125000
1.13,5,-4.5703125000
1.13,5,-4.5703125000
1.13,5,-4.5703125000
1.13,5,-4.5703125000
1.13,5,-4.5703125000
1.13,5,-4.5703125000
1.14,5,-4.5703125000
1.14,5,-4.5703125000
1.14,5,-4.5703125000
1.14,5,-4.5703125000
1.14,5,-4.5703125000
1.15,5,-4.5703125000
1.15,5,-4.5703125000
1.15,5,-4.5703125000
1.15,5,-4.5703125000
1.15,5,-4.5703125000
1.16,5,-4.5703125000
1.16,5,-4.5703125000
1.16,5,-4.5703125000
1.16,5,-4.5703125000
1.16,5,-4.5703125000
1.16,5,-4.5703125000
1.17,5,-4.5703125000
1.17,5,-4.5703125000
1.17,5,-4.5703125000
1.17,5,-4.5703125000
1.17,5,-4.5703125000
1.18,5,-4.5703125000
1.18,5,-4.5703125000
1.18,5,-4.5703125000
1.18,5,-4.5703125000
1.18,5,-4.5703125000
1.18,5,-4.5703125000
1.19,5,-4.5703125000
1.19,5,-4.5703125000
1.19,5,-4.5703125000
1.19,5,-4.5703125000
1.20,5,-4.5703125000
1.20,5,-4.5703125000
1.20,5,-4.5703125000
1.20,5,-4.5703125000
1.20,5,-4.5703125000
1.20,5,-4.5703125000
1.21,5,-4.5703125000
1.21,5,-4.5703125000
1.21,5,-4.5703125000
1.21,5,-4.5703125000
1.21,5,-4.5703125000
1.22,5,-4.5703125000
1.22,5,-4.5703125000
1.22,5,-4.5703125000
1.22,5,-4.5703125000
1.22,5,-4.5703125000
1.22,5,-4.5703125000
1.23,5,-4.5703125000
1.23,5,-4.5703125000
1.23,5,-4.5703125000
1.23,5,-4.5703125000
1.23,5,-4.5703125000
1.24,5,-4.5703125000
1.24,5,-4.5703125000
1.24,5,-4.5703125000
1.24,5,-4.5703125000
1.24,5,-4.5703125000
1.25,5,-4.5703125000
1.25,5,-4.5703125000
1.25,5,-4.5703125000
1.25,5,-4.5703125000
1.25,5,-4.5703125000
1.25,5,-4.5703125000
1.26,5,-4.5703125000
1.26,5,-4.5703125000
1.26,5,-4.5703125000
1.26,5,-4.5703125000
1.26,5,-4.5703125000
1.27,5,-4.5703125000
1.27,5,-4.5703125000
1.27,5,-4.5703125000
1.27,5,-4.5703125000
1.27,5,-4.5703125000
1.27,5,-4.5703125000
1.28,5,-4.5703125000
1.28,5,-4.5703125000
1.28,5,-4.5703125000
1.28,5,-4.5703125000
1.28,5,-4.5703125000
1.29,5,-4.5703125000
1.29,5,-4.5703125000
1.29,5,-4.5703125000
1.29,5,-4.5703125000
1.29,5,-4.5703125000
1.30,5,-4.5703125000
1.30,5,-4.5703125000
1.30,5,-4.5703125000
1.30,5,-4.5703125000
1.30,5,-4.5703125000
1.30,5,-4.5703125000
1.31,5,-4.5703125000
1.31,5,-4.5703125000
1.31,5,-4.5703125000
1.31,5,-4.5703125000
1.31,5,-4.5703125000
1.32,5,-4.5703125000
1.32,5,-4.5703125000
1.32,5,-4.5703125000
1.32,5,-4.5703125000
1.32,5,-4.5703125000
1.33,5,-4.5703125000
1.33,5,-4.5703125000
1.33,5,-4.5703125000
1.33,5,-4.5703125000
1.33,5,-4.5703125000
1.34,5,-4.5703125000
1.34,5,-4.5703125000
1.34,5,-4.5703125000
1.34,5,-4.5703125000
1.34,5,-4.5703125000
1.34,5,-4.5703125000
1.35,5,-4.5703125000
1.35,5,-4.5703125000
1.35,5,-4.5703125000
1.35,5,-4.5703125000
1.35,5,-4.5703125000
1.36,5,-4.5703125000
1.36,5,-4.5703125000
1.36,5,-4.5703125000
1.36,5,-4.5703125000
1.36,5,-4.5703125000
1.36,5,-4.5703125000
1.37,5,-4.5703125000
1.37,5,-4.5703125000
1.37,5,-4.5703125000
1.37,5,-4.5703125000
1.37,5,-4.5703125000
1.38,5,-4.5703125000
1.38,5,-4.5703125000
1.38,5,-4.5703125000
1.38,5,-4.5703125000
1.38,5,-4.5703125000
1.38,5,-4.5703125000
1.39,5,-4.5703125000
1.39,5,-4.5703125000
1.39,5,-4.5703125000
1.39,5,-4.5703125000
1.39,5,-4.5703125000
1.40,5,-4.5703125000
1.40,5,-4.5703125000
1.40,5,-4.5703125000
1.40,5,-4.5703125000
1.40,5,-4.5703125000
1.40,5,-4.5703125000
1.41,5,-4.5703125000
1.41,5,-4.5703125000
1.41,5,-4.5703125000
1.41,5,-4.5703125000
1.42,5,-4.5703125000
1.42,5,-4.5703125000
1.42,5,-4.5703125000
1.42,5,-4.5703125000
1.42,5,-4.5703125000
1.42,5,-4.5703125000
1.43,5,-4.5703125000
1.43,5,-4.5703125000
1.43,5,-4.5703125000
1.43,5,-4.5703125000
1.43,5,-4.5703125000
1.44,5,-4.5703125000
1.44,5,-4.5703125000
1.44,5,-4.5703125000
1.44,5,-4.5703125000
1.44,5,-4.5703125000
1.45,5,-4.5703125000
1.45,5,-4.5703125000
1.45,5,-4.5703125000
1.45,5,-4.5703125000
1.45,5,-4.5703125000
1.46,5,-4.5703125000
1.46,5,-4.5703125000
1.46,5,-4.5703125000
1.46,5,-4.5703125000
1.46,5,-4.5703125000
1.46,5,-4.5703125000
1.47,5,-4.5703125000
1.47,5,-4.5703125000
1.47,5,-4.5703125000
1.47,5,-4.5703125000
1.47,5,-4.5703125000
1.48,5,-4.5703125000
1.48,5,-4.5703125000
1.48,5,-4.5703125000
1.48,5,-4.5703125000
1.48,5,-4.5703125000
1.48,5,-4.5703125000
1.49,5,-4.5703125000
1.49,5,-4.5703125000
1.49,5,-4.5703125000
1.49,5,-4.5703125000
1.49,5,-4.5703125000
1.50,5,-4.5703125000
1.50,5,-4.5703125000
1.50,5,-4.5703125000
1.50,5,-4.5703125000
1.50,5,-4.5703125000
1.50,5,-4.5703125000
1.51,5,-4.5703125000
1.51,5,-4.5703125000
1.51,5,-4.5703125000
1.51,5,-4.5703125000
1.51,5,-4.5703125000
1.52,5,-4.5703125000
1.52,5,-4.5703125000
1.52,5,-4.5703125000
1.52,5,-4.5703125000
1.52,5,-4.5703125000
1.52,5,-4.5703125000
1.53,5,-4.5703125000
1.53,5,-4.5703125000
1.53,5,-4.5703125000
1.53,5,-4.5703125000
1.53,5,-4.5703125000
1.54,5,-4.5703125000
1.54,5,-4.5703125000
1.54,5,-4.5703125000
1.54,5,-4.5703125000
1.54,5,-4.5703125000
1.55,5,-4.5703125000
1.55,5,-4.5703125000
1.55,5,-4.5703125000
1.55,5,-4.5703125000
1.55,5,-4.5703125000
